semantic_group_id,num_markets,num_dates,num_event_slugs,event_slugs,actors,sample_questions,needs_review
ukraine-hits-moscow:ukraine,13,9,7,"ukraine-hits-moscow-by-sept-30, ukraine-hits-moscow-before-2025, ukraine-hits-moscow-by-july-31, ukraine-hits-moscow-by-august-31, ukraine-hits-moscow-by-september-30",ukraine,Ukraine hits Moscow by Sept 30? | Ukraine hits Moscow before 2025? | Ukraine hits Moscow by July 31? | Ukraine hits Moscow by August 31? | Ukraine hits Moscow by September 30?,True
north-korea-missile-launch:north-korea,13,8,13,"north-korea-missile-launch-by-october-15, north-korea-missile-launch-by-october-31, north-korea-missile-launch-by-november-15, north-korea-missile-launch-by-november-15-975, north-korea-missile-launch-by-november-15-879",north-korea,North Korea missile launch by October 15? | North Korea missile launch by October 31? | North Korea missile launch by November 15? | North Korea missile launch by November 15? | North Korea missile launch by November 15?,True
israel-x-hamas-ceasefire-cancelled:israel,12,9,6,"israel-x-hamas-ceasefire-cancelled-by-saturday, israel-x-hamas-ceasefire-cancelled-before-march, israel-x-hamas-ceasefire-cancelled-before-april, israel-x-hamas-ceasefire-cancelled-by-friday, israel-x-hamas-ceasefire-cancelled-by-next-friday",israel,Israel x Hamas ceasefire cancelled by Saturday? | Israel x Hamas ceasefire cancelled before March? | Israel x Hamas ceasefire cancelled before April? | Israel x Hamas ceasefire cancelled by Friday? | Israel x Hamas ceasefire cancelled by next Friday?,True
iran-strike-on-israel:iran,11,7,7,"iran-strike-on-israel-before-november, iran-strike-on-israel-by-nov-8, iran-strike-on-israel-before-december, iran-strike-on-israel-by-nov-15, iran-strike-on-israel-by-friday",iran,Iran strike on Israel before November? | Iran strike on Israel by Nov 8? | Iran strike on Israel before December? | Iran strike on Israel by Friday? | Iran strike on Israel by Friday?,True
megaquake,11,10,11,"megaquake-by-april, megaquake-before-august, megaquake-by-august-31, megaquake-by-september-30, megaquake-by-august-31-796",,Megaquake before May? | Megaquake before August? | Megaquake by August 31? | Megaquake by September 30? | Megaquake by August 31?,True
will-there-be-exactly-0-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 0 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-exactly-1-earthquake-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 1 earthquake of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-exactly-2-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 2 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-exactly-3-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 3 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-exactly-4-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 4 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-exactly-5-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be exactly 5 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be exactly 5 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be exactly 5 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be exactly 5 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be exactly 5 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
will-there-be-more-than-5-earthquakes-of-magnitude-6pt5-or-higher-worldwide,10,10,10,"how-many-6pt5-or-above-earthquakes-by-december-28, how-many-6pt5-or-above-earthquakes-by-january-4, how-many-6pt5-or-above-earthquakes-by-january-11-198, how-many-6pt5-or-above-earthquakes-by-january-18, how-many-6pt5-or-above-earthquakes-by-january-25",,Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide by December 28? | Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide by January 4? | Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide by January 11? | Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide by January 18? | Will there be more than 5 earthquakes of magnitude 6.5 or higher worldwide by January 25?,True
us-strike-on-somalia,10,5,10,"us-strike-on-somalia-by-january-31, us-strike-on-somalia-by-january-31-338, us-strike-on-somalia-by-january-31-956, us-strike-on-somalia-by-january-31-563, us-strike-on-somalia-by-february-7",,U.S. strike on Somalia by January 31? | U.S. strike on Somalia by January 31? | U.S. strike on Somalia by January 31? | U.S. strike on Somalia by January 31? | U.S. strike on Somalia by February 7?,True
will-sweden-join-nato:nato,10,10,4,"will-sweden-join-nato-by, will-sweden-join-nato-by-january-31, will-sweden-join-nato-by-february-29, will-sweden-join-nato-by-march-31",nato,Will Sweden join NATO by December 31? | Will Sweden join NATO by June 30? | Will Sweden join NATO by August 31? | Will Sweden join NATO by October 31? | Will Sweden join NATO by April 30?,True
iran-military-response:iran,9,9,9,"iran-military-response-by-august-12, iran-military-response-by-sunday, iran-military-response-by-tuesday, iran-military-response-by-friday, iran-military-response-by-august-23",iran,Iran military response by Monday? | Iran military response by Sunday? | Iran military response by Tuesday? | Iran military response by Friday? | Iran military response by Friday?,True
solana-all-time-high,9,9,6,"solana-all-time-high-by-january-31, solana-all-time-high-by-march-31, solana-all-time-high-by-june-30, solana-all-time-high-before-2026, solana-all-time-high-by-september-30",,Solana all time high by January 31? | Solana all time high by March 31? | Solana all time high by June 30? | Solana all time high before 2026? | Solana all time high by September 30?,True
houthi-strike-on-israel:israel,9,6,7,"houthi-strike-on-israel-before-august, houthi-strike-on-israel-by-august-31, houthi-strike-on-israel-by-334, houthi-strike-on-israel-by-495, houthi-strike-on-israel-by-december-31",israel,Houthi strike on Israel before August? | Houthi strike on Israel by August 31? | Houthi strike on Israel by September 30? | Houthi strike on Israel by September 15? | Houthi strike on Israel by September 30?,True
thailand-strikes-cambodia,9,6,7,"thailand-strikes-cambodia-by-friday, thailand-strikes-cambodia-by-july-31, thailand-strikes-cambodia-by-august-31, thailand-strikes-cambodia-by-august-1, thailand-strikes-cambodia-by-december-31",,Thailand strikes Cambodia by Friday? | Thailand strikes Cambodia by July 31? | Thailand strikes Cambodia by August 31? | Thailand strikes Cambodia by August 1? | Thailand strikes Cambodia by December 31?,True
will-the-us-not-strike-another-country-before:us,9,1,9,"next-country-us-strikes-391, next-country-us-strikes-329, next-country-us-strikes-918, next-country-us-strikes-632, next-country-us-strikes-785",us,Will the US not strike another country before 2027? | Will the US not strike another country before 2027? | Will the US not strike another country before 2027? | Will the US not strike another country before 2027? | Will the US not strike another country before 2027?,True
us-forces-seize-another-oil-tanker,9,2,4,"us-forces-seize-another-oil-tanker-by, us-forces-seize-another-oil-tanker-by-328, us-forces-seize-another-oil-tanker-by-471, us-forces-seize-another-oil-tanker-by-march-7",,"U.S. forces seize another oil tanker by January 25, 2026? | U.S. forces seize another oil tanker by January 31, 2026? | U.S. forces seize another oil tanker by February 14, 2026? | U.S. forces seize another oil tanker by February 28, 2026? | U.S. forces seize another oil tanker by February 14, 2026?",True
tiktok-sale-announced,8,8,5,"tiktok-sale-announced-before-august, tiktok-sale-announced-before-april, tiktok-sale-announced-before-may, tiktok-sale-announced-by-june-19, tiktok-sale-announced-in-2025",,TikTok sale announced before August? | TikTok sale announced before April? | TikTok sale announced before May? | TikTok sale announced by June 19? | TikTok sale announced by September 30?,True
will-trump-be-speaker:trump,8,8,8,"will-trump-be-speaker-by-may-1, will-trump-be-speaker-by-july-1, will-trump-be-speaker-by-august-1, will-trump-be-speaker-by-october-1, will-trump-be-speaker-by-january-1",trump,Will Trump be Speaker by May 1? | Will Trump be Speaker by July 1? | Will Trump be Speaker by August 1? | Will Trump be Speaker by October 1? | Will Trump be Speaker by January 1?,True
israel-military-action-against-iran:iran,8,8,8,"israel-military-action-against-iran-by-friday, israel-military-action-against-iran-by-end-of-2024, israel-military-action-against-iran-before-july, israel-military-action-against-iran-before-june, israel-military-action-against-iran-before-2026",iran,Israel military action against Iran by Friday? | Israel military action against Iran by end of 2024? | Israel military action against Iran before July? | Israel military action against Iran before June? | Israel military action against Iran before 2026?,True
will-russia-capture-siversk:russia,8,6,4,"will-russia-capture-siversk-before-december, will-russia-capture-siversk-before-may, will-russia-capture-siversk-before-september, will-russia-capture-siversk-by-september-30",russia,Will Russia capture Siversk before December? | Will Russia capture Siversk before May? | Will Russia capture Siversk by August 31? | Will Russia capture Siversk by September 30? | Will Russia capture Siversk by December 31?,True
earthquake-7pt0-or-above,8,4,8,"earthquake-7pt0-or-above-by-may, earthquake-7pt0-or-above-before-august, earthquake-7pt0-or-above-by-august-31, earthquake-7pt0-or-above-by-july-31, earthquake-7pt0-or-above-by-july-31-842",,Earthquake 7.0 or above before May? | Earthquake 7.0 or above before August? | Earthquake 7.0 or above by August 31? | Earthquake 7.0 or above by July 31? | Earthquake 7.0 or above by July 31?,True
will-putin-meet-with-zelenskyy:putin,8,8,8,"will-putin-meet-with-zelenskyy-before-july, will-putin-meet-with-zelenskyy-by-friday, will-putin-meet-with-zelenskyy-before-august, will-putin-meet-with-zelenskyy-by-august-31, will-putin-meet-with-zelenskyy-by-september-30",putin,Will Putin meet with Zelenskyy before July? | Will Putin meet with Zelenskyy by Friday? | Will Putin meet with Zelenskyy before August? | Will Putin meet with Zelenskyy by August 31? | Will Putin meet with Zelenskyy by September 30?,True
will-israel-launch-a-major-ground-offensive-in-gaza:israel,8,6,6,"will-israel-launch-a-major-ground-offensive-in-gaza-by-next-tuesday, will-israel-launch-a-major-ground-offensive-in-gaza-by-friday-697, will-israel-launch-a-major-ground-offensive-in-gaza-by-october-31, will-israel-launch-a-major-ground-offensive-in-gaza-by-friday, will-israel-launch-a-major-ground-offensive-in-gaza-by-oct-31",israel,Will Israel launch a major ground offensive in Gaza by next Tuesday? | Will Israel launch a major ground offensive in Gaza by Friday? | Will Israel launch a major ground offensive in Gaza by December 31? | Will Israel launch a major ground offensive in Gaza by October 31? | Will Israel launch a major ground offensive in Gaza by March 31?,True
another-us-military-action-against-iran:iran,8,8,8,"another-us-military-action-against-iran-by-sunday, another-us-military-action-against-iran-by-monday, another-us-military-action-against-iran-by-june-30, another-us-military-action-against-iran-by-wednesday, another-us-military-action-against-iran-by-friday",iran,Another US military action against Iran by Sunday? | Another US military action against Iran by Monday? | Another US military action against Iran by June 30? | Another US military action against Iran by Wednesday? | Another US military action against Iran by Friday?,True
will-israel-invade-lebanon:israel,7,7,7,"will-israel-invade-lebanon-before-may, will-israel-invade-lebanon-before-september, will-israel-invade-lebanon-by-friday, will-israel-invade-lebanon-by-friday-aug-9, will-israel-invade-lebanon-by-january-20",israel,Will Israel invade Lebanon before May? | Will Israel invade Lebanon before September? | Will Israel invade Lebanon by Friday? | Will Israel invade Lebanon by Friday? | Will Israel invade Lebanon by January 20?,True
mike-johnson-out-as-speaker,7,7,5,"mike-johnson-out-as-speaker-before-may, mike-johnson-out-as-speaker-before-june, mike-johnson-out-as-speaker-before-election, mike-johnson-out-as-speaker-before-inauguration, mike-johnson-out-as-speaker-by",,Mike Johnson out as Speaker before May? | Mike Johnson out as Speaker before June? | Mike Johnson out as Speaker before Election? | Mike Johnson out as Speaker before inauguration? | Mike Johnson out as Speaker by March 31?,True
khamenei-out-as-supreme-leader-of-iran:iran,7,7,7,"khamenei-out-as-supreme-leader-of-iran-by-june-30, khamenei-out-as-supreme-leader-of-iran-by-friday, khamenei-out-as-supreme-leader-of-iran-by-july-31, khamenei-out-as-supreme-leader-of-iran-by-june-30-747, khamenei-out-as-supreme-leader-of-iran-by-march-31",iran,Khamenei out as Supreme Leader of Iran by June 30? | Khamenei out as Supreme Leader of Iran by Friday? | Khamenei out as Supreme Leader of Iran by July 31? | Khamenei out as Supreme Leader of Iran by June 30? | Khamenei out as Supreme Leader of Iran by March 31?,True
will-trump-meet-with-zelenskyy:trump,7,6,4,"will-trump-meet-with-zelenskyy-by-friday, will-trump-meet-with-zelenskyy-before-june, will-trump-meet-with-zelenskyy-before-august, will-trump-meet-with-zelenskyy-by",trump,Will Trump meet with Zelenskyy by Friday? | Will Trump meet with Zelenskyy before June? | Will Trump meet with Zelenskyy before August? | Will Trump meet with Zelenskyy by December 5? | Will Trump meet with Zelenskyy by December 31?,True
xrp-all-time-high,7,7,4,"xrp-all-time-high-before-2026, xrp-all-time-high-before-august, xrp-all-time-high-by-december-31, xrp-all-time-high-by",,"XRP all time high before 2026? | XRP all time high before October? | XRP all time high by December 31? | XRP all time high by March 31, 2026? | XRP all time high by June 30, 2026?",True
another-sp-500-company-buys-bitcoin,7,5,5,"another-sp-500-company-buys-bitcoin-before-may, another-sp-500-company-buys-bitcoin-before-july, another-sp-500-company-buys-bitcoin-before-september, another-sp-500-company-buys-bitcoin-by-october-31, another-sp-500-company-buys-bitcoin-by-november-30",,"Another S&P 500 Company buys Bitcoin before May? | Another S&P 500 Company buys Bitcoin before July? | Another S&P 500 Company buys Bitcoin before October? | Another S&P 500 Company buys Bitcoin by October 31? | Another S&P 500 Company buys Bitcoin by December 31, 2026?",True
pakistan-strike-on-india,7,5,4,"pakistan-strike-on-india-before-august, pakistan-strike-on-india-by-friday, pakistan-strike-on-india-by-august-31, pakistan-strike-on-india-by",,Pakistan strike on India before August? | Pakistan strike on India by Friday? | Pakistan strike on India by August 31? | Pakistan strike on India by October 31? | Pakistan strike on India by December 31?,True
israel-strike-on-damascus:israel,7,5,4,"israel-strike-on-damascus-by-july-31, israel-strike-on-damascus-by-august-31, israel-strike-on-damascus-by-setpember-15, israel-strike-on-damascus-by-september-30",israel,Israel strike on Damascus by July 31? | Israel strike on Damascus by August 31? | Israel strike on Damascus by September 15? | Israel strike on Damascus by September 30? | Israel strike on Damascus by December 31?,True
thailand-x-cambodia-ceasefire,7,4,4,"thailand-x-cambodia-ceasefire-by-august-15, thailand-x-cambodia-ceasefire-by-july-31, thailand-x-cambodia-ceasefire-by-sunday-july-27, thailand-x-cambodia-ceasefire-by-december-15",,"Thailand x Cambodia ceasefire by August 15? | Thailand x Cambodia ceasefire by July 31? | Thailand x Cambodia ceasefire by Sunday, July 27? | Thailand x Cambodia ceasefire by December 15? | Thailand x Cambodia ceasefire by December 31?",True
iran-response-to-israel:iran,6,6,6,"iran-response-to-israel-by-wednesday, iran-response-to-israel-by-monday, iran-response-to-israel-by-friday-apr-12, iran-response-to-israel-by-april-19, iran-response-to-israel-by-april-14",iran,Iran response to Israel by Friday? | Iran response to Israel by Monday? | Iran response to Israel by Friday? | Iran response to Israel by April 19? | Iran response to Israel by Sunday?,True
netanyahu-out,6,6,6,"netanyahu-out-by-october-31, netanyahu-out-before-april, netanyahu-out-in-2025, netanyahu-out-by-august-31, netanyahu-out-before-2027",,Netanyahu out by October 31? | Netanyahu out before April? | Netanyahu out by September 30? | Netanyahu out by August 31? | Netanyahu out by end of 2026?,True
israel-withdraws-from-lebanon:israel,6,6,6,"israel-withdraws-from-lebanon-before-november, israel-withdraws-from-lebanon-before-december, israel-withdraws-from-lebanon-before-february, israel-withdraws-from-lebanon-before-march, israel-withdraws-from-lebanon-before-july",israel,Israel withdraws from Lebanon before November? | Israel withdraws from Lebanon before December? | Israel withdraws from Lebanon before February? | Israel withdraws from Lebanon before March? | Israel withdraws from Lebanon before July?,True
zelenskyy-out-as-ukraine-president:ukraine,6,6,6,"zelenskyy-out-as-ukraine-president-before-july, zelenskyy-out-as-ukraine-president-by-october-31, zelenskyy-out-as-ukraine-president-before-2027, zelenskyy-out-as-ukraine-president-by-december-31, zelenskyy-out-as-ukraine-president-by-march-31-2026",ukraine,"Zelenskyy out as Ukraine president before July? | Zelenskyy out as Ukraine president by October 31? | Zelenskyy out as Ukraine president by end of 2026? | Zelenskyy out as Ukraine president by December 31? | Zelenskyy out as Ukraine president by March 31, 2026?",True
us-iran-nuclear-deal:iran,6,6,6,"us-iran-nuclear-deal-before-july, us-iran-nuclear-deal-before-august, us-iran-nuclear-deal-before-september, us-iran-nuclear-deal-before-2027, us-iran-nuclear-deal-by-june-30",iran,US-Iran nuclear deal before July? | US-Iran nuclear deal before August? | US-Iran nuclear deal before September? | US-Iran nuclear deal before 2027? | US-Iran nuclear deal by June 30?,True
another-israel-military-action-on-yemen:israel,6,4,6,"another-israel-military-action-on-yemen-by-friday, another-israel-military-action-on-yemen-by-friday-may-9, another-israel-military-action-on-yemen-by-friday-468, another-israel-military-action-on-yemen-by-friday-may-23, another-israel-military-action-on-yemen-before-july",israel,Another Israel military action on Yemen by Friday? | Another Israel military action on Yemen by Friday? | Another Israel military action on Yemen by Friday? | Another Israel military action on Yemen by Friday? | Another Israel military action on Yemen before July?,True
will-trump-meet-with-netanyahu:trump,6,6,5,"will-trump-meet-with-netanyahu-before-june, will-trump-meet-with-netanyahu-before-july, will-trump-meet-with-netanyahu-before-august, will-trump-meet-with-netanyahu-by, will-trump-meet-with-netanyahu-by-february-12",trump,"Will Trump meet with Netanyahu before June? | Will Trump meet with Netanyahu before July? | Will Trump meet with Netanyahu before August? | Will Trump meet with Netanyahu by December 29, 2025? | Will Trump meet with Netanyahu by January 2, 2026?",True
any-more-new-orleans-escapees-captured,6,4,6,"any-more-new-orleans-escapees-captured-before-monday, any-more-new-orleans-escapees-captured-by-friday, any-more-new-orleans-escapees-captured-by-wednesday, any-more-new-orleans-escapees-captured-by-wednesday-268, any-more-new-orleans-escapees-captured-by-friday-523",,Any more New Orleans escapees captured before Monday? | Any more New Orleans escapees captured by Friday? | Any more New Orleans escapees captured by Wednesday? | Another New Orleans inmate captured by Wednesday? | Another New Orleans inmate captured by Friday?,True
us-x-iran-nuclear-talks-resume:iran,6,6,6,"us-x-iran-nuclear-talks-resume-before-july, us-x-iran-nuclear-talks-resume-by-friday, us-x-iran-nuclear-talks-resume-before-august, us-x-iran-nuclear-talks-resume-by-august-31, us-x-iran-nuclear-talks-resume-by-december-31",iran,US x Iran nuclear talks resume before July? | US x Iran nuclear talks resume by Friday? | US x Iran nuclear talks resume before August? | US x Iran nuclear talks resume by August 31? | US x Iran nuclear talks resume by December 31? ,True
israel-strikes-yemen:israel,6,5,6,"israel-strikes-yemen-by-friday, israel-strikes-yemen-by-monday, israel-strikes-yemen-by-august-31, israel-strikes-yemen-by-august-15, israel-strikes-yemen-by-august-22",israel,Israel strikes Yemen by Friday? | Israel strikes Yemen by Monday? | Israel strikes Yemen by August 31? | Israel strikes Yemen by August 15? | Israel strikes Yemen by August 22?,True
hezbollah-strike-on-israel:israel,6,4,5,"hezbollah-strike-on-israel-by, hezbollah-strike-on-israel-by-december-31, hezbollah-strike-on-israel-by-march-31, hezbollah-strike-on-israel-by-january-31-226, hezbollah-strike-on-israel-by-february-28",israel,Hezbollah strike on Israel by September 15? | Hezbollah strike on Israel by September 30? | Hezbollah strike on Israel by December 31? | Hezbollah strike on Israel by March 31? | Hezbollah strike on Israel by January 31?,True
